Hit,Title,Artist,Featuring,Artist_Feat
0,The Old Lamp-Lighter,Kay Kyser,0,Kay Kyser
0,Oh! What It Seemed to Be,Dick Haymes and Helen Forrest,0,Dick Haymes and Helen Forrest
0,Rumors Are Flying,The Andrews Sisters and Les Paul Trio,0,The Andrews Sisters and Les Paul Trio
0,Dig You Later (A Hubba-Hubba-Hubba),Perry Como,0,Perry Como
0,Symphony,Jo Stafford,0,Jo Stafford
0,To Each His Own,The Modernaires and Paula Kelly,0,The Modernaires and Paula Kelly
0,Sioux City Sue,Bing Crosby and the Jesters,0,Bing Crosby and the Jesters
0,(I Love You) For Sentimental Reasons,King Cole Trio,0,King Cole Trio
1,Near You,Francis Craig,0,Francis Craig
1,Peg o' My Heart,The Harmonicats,0,The Harmonicats
1,Heartaches,Ted Weems,0,Ted Weems
1,I Wish I Didn't Love You So,Vaughn Monroe,0,Vaughn Monroe
1,Peg o' My Heart,The Three Suns,0,The Three Suns
1,The Anniversary Song,Al Jolson,0,Al Jolson
1,Near You,Larry Green Orchestra,0,Larry Green Orchestra
1,That's My Desire,Sammy Kaye,0,Sammy Kaye
1,Ballerina,Vaughn Monroe,0,Vaughn Monroe
0,I Wonder Who's Kissing Her Now,Ted Weems and Perry Como,0,Ted Weems and Perry Como
0,Near You,The Andrews Sisters,0,The Andrews Sisters
0,When You Were Sweet Sixteen,Perry Como,0,Perry Como
0,How Soon,Jack Owens,0,Jack Owens
0,Too Fat Polka,Arthur Godfrey,0,Arthur Godfrey
0,Huggin' and Chalkin',Hoagy Carmichael,0,Hoagy Carmichael
0,The Anniversary Song,Guy Lombardo,0,Guy Lombardo
0,Across the Alley from the Alamo,The Mills Brothers,0,The Mills Brothers
0,Civilization,The Andrews Sisters and Danny Kaye,0,The Andrews Sisters and Danny Kaye
0,Feudin' and Fightin',Dorothy Shay,0,Dorothy Shay
0,Linda,Charlie Spivak,0,Charlie Spivak
0,"Open the Door, Richard",Dusty Fletcher,0,Dusty Fletcher
0,(I Love You) For Sentimental Reasons,Eddy Howard,0,Eddy Howard
1,Twelfth Street Rag,Pee Wee Hunt,0,Pee Wee Hunt
1,Mañana (Is Soon Enough for Me),Peggy Lee,0,Peggy Lee
1,Now Is the Hour,Bing Crosby,0,Bing Crosby
1,A Tree in the Meadow,Margaret Whiting,0,Margaret Whiting
1,My Happiness,Jon and Sondra Steele,0,Jon and Sondra Steele
1,"You Can't Be True, Dear",Ken Griffin and Jerry Wayne,0,Ken Griffin and Jerry Wayne
1,Little White Lies,Dick Haymes,0,Dick Haymes
1,You Call Everybody Darlin',Al Trace,0,Al Trace
1,My Happiness,The Pied Pipers,0,The Pied Pipers
1,I'm Looking Over a Four Leaf Clover,Art Mooney,0,Art Mooney
0,It's Magic,Doris Day,0,Doris Day
0,Maybe You'll Be There,Gordon Jenkins,0,Gordon Jenkins
0,Nature Boy,King Cole,0,King Cole
0,Woody Woodpecker,Kay Kyser,0,Kay Kyser
0,Love Somebody,Doris Day and Buddy Clark,0,Doris Day and Buddy Clark
0,Now Is the Hour,Gracie Fields,0,Gracie Fields
0,Beg Your Pardon,Francis Craig,0,Francis Craig
0,"You Can't Be True, Dear",Ken Griffin,0,Ken Griffin
0,Toolie Oolie Doolie,The Andrews Sisters,0,The Andrews Sisters
0,Buttons and Bows,Dinah Shore,0,Dinah Shore
0,Golden Earrings,Peggy Lee,0,Peggy Lee
0,Serenade of the Bells,Sammy Kaye,0,Sammy Kaye
0,Until,Tommy Dorsey,0,Tommy Dorsey
0,William Tell Overture,Spike Jones,0,Spike Jones
0,Beg Your Pardon,Frankie Carle,0,Frankie Carle
0,I'll Dance at Your Wedding,Ray Noble and Buddy Clark,0,Ray Noble and Buddy Clark
0,The Dicky-Bird Song,Freddy Martin,0,Freddy Martin
0,I'm Looking Over a Four Leaf Clover,Russ Morgan and Milt Herth,0,Russ Morgan and Milt Herth
0,How Soon,Vaughn Monroe,0,Vaughn Monroe
0,Serenade of the Bells,Jo Stafford,0,Jo Stafford
1,Riders in the Sky,Vaughn Monroe,0,Vaughn Monroe
1,That Lucky Old Sun,Frankie Laine,0,Frankie Laine
1,You're Breaking My Heart,Vic Damone,0,Vic Damone
1,Some Enchanted Evening,Perry Como,0,Perry Como
1,Slippin' Around,Jimmy Wakely and Margaret Whiting,0,Jimmy Wakely and Margaret Whiting
1,"I Can Dream, Can't I?",The Andrews Sisters and Gordon Jenkins,0,The Andrews Sisters and Gordon Jenkins
1,Cruising Down the River,Russ Morgan Orchestra,0,Russ Morgan Orchestra
1,A Little Bird Told Me,Evelyn Knight and The Stardusters,0,Evelyn Knight and The Stardusters
1,Mule Train,Frankie Laine,0,Frankie Laine
1,Jealous Heart,Al Morgan,0,Al Morgan
0,Cruising Down the River,Blue Barron Orchestra,0,Blue Barron Orchestra
0,Someday,Vaughn Monroe,0,Vaughn Monroe
0,Again,Gordon Jenkins Orchestra,0,Gordon Jenkins Orchestra
0,Forever and Ever,Russ Morgan,0,Russ Morgan
0,Forever and Ever,Perry Como,0,Perry Como
0,"Don't Cry, Joe",Gordon Jenkins Orchestra,0,Gordon Jenkins Orchestra
0,Room Full of Roses,Sammy Kaye,0,Sammy Kaye
0,Far Away Places,Bing Crosby and Ken Darby Choir,0,Bing Crosby and Ken Darby Choir
0,Galway Bay,Bing Crosby,0,Bing Crosby
0,Red Roses for a Blue Lady,Vaughn Monroe,0,Vaughn Monroe
0,So Tired,Russ Morgan,0,Russ Morgan
0,Powder Your Face with Sunshine,Evelyn Knight,0,Evelyn Knight
0,"Baby, It's Cold Outside",Johnny Mercer and Margaret Whiting,0,Johnny Mercer and Margaret Whiting
0,Whispering Hope,Jo Stafford and Gordon MacRae,0,Jo Stafford and Gordon MacRae
0,Maybe It's Because,Dick Haymes,0,Dick Haymes
0,Careless Hands,Sammy Kaye Orchestra,0,Sammy Kaye Orchestra
0,'A' You're Adorable,Perry Como and The Fontane Sisters,0,Perry Como and The Fontane Sisters
0,The Hucklebuck,Tommy Dorsey Orchestra and Charlie Shavers,0,Tommy Dorsey Orchestra and Charlie Shavers
0,I Don't See Me in Your Eyes Anymore,Gordon Jenkins Orchestra and The Stardusters,0,Gordon Jenkins Orchestra and The Stardusters
1,Goodnight Irene,Gordon Jenkins & The Weavers,0,Gordon Jenkins & The Weavers
1,Mona Lisa,Nat King Cole,0,Nat King Cole
1,Third Man Theme,Anton Karas,0,Anton Karas
1,Sam's Song,Gary & Bing Crosby,0,Gary & Bing Crosby
1,Simple Melody,Gary & Bing Crosby,0,Gary & Bing Crosby
1,"Music, Music, Music",Teresa Brewer,0,Teresa Brewer
1,Third Man Theme,Guy Lombardo,0,Guy Lombardo
1,Chattanoogie Shoe Shine Boy,Red Foley,0,Red Foley
1,Harbor Lights,Sammy Kaye,0,Sammy Kaye
1,It Isn't Fair,Sammy Kaye & Don Cornell,0,Sammy Kaye & Don Cornell
0,If I Knew You Were Coming I'd have Baked a Cake,Eileen Barton,0,Eileen Barton
0,Bonaparte's Retreat,Kay Starr,0,Kay Starr
0,"Tzena, Tzena, Tzena",Gordon Jenkins & The Weavers,0,Gordon Jenkins & The Weavers
0,There's No Tomorrow,Tony Martin,0,Tony Martin
0,The Thing,Phil Harris,0,Phil Harris
0,Sentimental Me,Ames Brothers,0,Ames Brothers
0,I Wanna Be Loved,Andrews Sisters & Gordon Jenkins,0,Andrews Sisters & Gordon Jenkins
0,Tennessee Waltz,Patti Page,0,Patti Page
0,"I Can Dream, Can't I",Andrews Sisters & Gordon Jenkins,0,Andrews Sisters & Gordon Jenkins
0,I'll Never Be Free,Tennessee Ernie Ford & Kay Starr,0,Tennessee Ernie Ford & Kay Starr
0,All My Love,Patti Page,0,Patti Page
0,My Foolish Heart,Gordon Jenkins,0,Gordon Jenkins
0,Rag Mop,Ames Brothers,0,Ames Brothers
0,Bewitched,Bill Snyder,0,Bill Snyder
0,Hoop-Dee-Doo,Perry Como,0,Perry Como
0,Bewitched,Gordon Jenkins,0,Gordon Jenkins
0,Can Anyone Explain?,Ames Brothers,0,Ames Brothers
0,My Foolish Heart,Billy Eckstine,0,Billy Eckstine
0,Dear Hearts and Gentle People,Bing Crosby,0,Bing Crosby
0,The Cry of the Wild Goose,Frankie Laine,0,Frankie Laine
1,Too Young,Nat King Cole,0,Nat King Cole
1,Because of You,Tony Bennett,0,Tony Bennett
1,How High the Moon,Les Paul & Mary Ford,0,Les Paul & Mary Ford
1,Come on-a My House,Rosemary Clooney,0,Rosemary Clooney
1,Be My Love,Mario Lanza,0,Mario Lanza
1,On Top of Old Smoky,The Weavers,0,The Weavers
1,"Cold, Cold Heart",Tony Bennett,0,Tony Bennett
1,Ataypura!,Yma Sumac,0,Yma Sumac
1,The Loveliest Night of the Year,Mario Lanza,0,Mario Lanza
0,Jezebel,Frankie Laine,0,Frankie Laine
0,I Get Ideas,Tony Martin,0,Tony Martin
0,Mockin' Bird Hill,Les Paul & Mary Ford,0,Les Paul & Mary Ford
0,Mockin' Bird Hill,Patti Page,0,Patti Page
0,My Heart Cries for You,Guy Mitchell & Mitch Miller,0,Guy Mitchell & Mitch Miller
0,(It's No) Sin,Eddy Howard,0,Eddy Howard
0,Sound Off,Vaughn Monroe,0,Vaughn Monroe
0,Sweet Violets,Dinah Shore,0,Dinah Shore
0,The World Is Waiting for the Sunrise,Les Paul & Mary Ford,0,Les Paul & Mary Ford
0,"My Truly, Truly Fair",Guy Mitchell & Mitch Miller,0,Guy Mitchell & Mitch Miller
0,(It's No) Sin,The Four Aces,0,The Four Aces
0,Aba Daba Honeymoon,Debbie Reynolds & Carleton Carpenter,0,Debbie Reynolds & Carleton Carpenter
0,"Rose, Rose, I Love You",Frankie Laine,0,Frankie Laine
0,Down Yonder,Del Wood,0,Del Wood
0,I Apologize,Billy Eckstine,0,Billy Eckstine
0,"Would I Love You (Love You, Love You)",Patti Page,0,Patti Page
0,You're Just in Love,Perry Como & The Fontane Sisters,0,Perry Como & The Fontane Sisters
0,Undecided,Ames Brothers with The Les Brown Orchestra,0,Ames Brothers with The Les Brown Orchestra
0,Because of You,Les Baxter,0,Les Baxter
1,Blue Tango,Leroy Anderson,0,Leroy Anderson
1,Wheel of Fortune,Kay Starr,0,Kay Starr
1,Cry,Johnnie Ray & The Four Lads,0,Johnnie Ray & The Four Lads
1,You Belong to Me,Jo Stafford,0,Jo Stafford
1,Auf Wiederseh'n Sweetheart,Vera Lynn,0,Vera Lynn
1,Half as Much,Rosemary Clooney,0,Rosemary Clooney
1,Wish You Were Here,Eddie Fisher,0,Eddie Fisher
1,I Went to Your Wedding,Patti Page,0,Patti Page
1,Here in My Heart,Al Martino,0,Al Martino
1,Delicado,Percy Faith,0,Percy Faith
0,Kiss of Fire,Georgia Gibbs,0,Georgia Gibbs
0,Anytime,Eddie Fisher,0,Eddie Fisher
0,Tell Me Why,The Four Aces,0,The Four Aces
0,Blacksmith Blues,Ella Mae Morse,0,Ella Mae Morse
0,Jambalaya (On the Bayou),Jo Stafford,0,Jo Stafford
0,Botch-a-Me (Ba-Ba-Baciami Piccina),Rosemary Clooney,0,Rosemary Clooney
0,A Guy Is a Guy,Doris Day,0,Doris Day
0,The Little White Cloud That Cried,Johnnie Ray,0,Johnnie Ray
0,High Noon,Frankie Laine,0,Frankie Laine
0,I'm Yours,Eddie Fisher,0,Eddie Fisher
0,The Glow-Worm,Mills Brothers,0,Mills Brothers
0,It's in the Book,Johnny Standley,0,Johnny Standley
0,Slow Poke,Pee Wee King,0,Pee Wee King
0,Walkin' My Baby Back Home,Johnnie Ray,0,Johnnie Ray
0,Meet Mister Callaghan,Les Paul,0,Les Paul
0,I'm Yours,Don Cornell,0,Don Cornell
0,I'll Walk Alone,Don Cornell,0,Don Cornell
0,Tell Me Why,Eddie Fisher,0,Eddie Fisher
0,Trying,The Hilltoppers,0,The Hilltoppers
0,"Please, Mr. Sun",Johnnie Ray & The Four Lads,0,Johnnie Ray & The Four Lads
1,The Song from Moulin Rouge,Percy Faith,0,Percy Faith
1,Vaya con Dios,Les Paul & Mary Ford,0,Les Paul & Mary Ford
1,(How Much Is) That Doggie in the Window?,Patti Page,0,Patti Page
1,I'm Walking Behind You,Eddie Fisher,0,Eddie Fisher
1,"You, You, You",Ames Brothers,0,Ames Brothers
1,Till I Waltz Again with You,Teresa Brewer,0,Teresa Brewer
1,April in Portugal,Les Baxter,0,Les Baxter
1,No Other Love,Perry Como,0,Perry Como
1,Don't Let the Stars Get in Your Eyes,Perry Como,0,Perry Como
1,I Believe,Frankie Laine,0,Frankie Laine
0,Oh,Pee Wee Hunt,0,Pee Wee Hunt
0,Ebb Tide,Frank Chacksfield,0,Frank Chacksfield
0,Pretend,Nat King Cole,0,Nat King Cole
0,Ruby,Richard Hayman,0,Richard Hayman
0,St. George and the Dragonet,Stan Freberg,0,Stan Freberg
0,P.S. I Love You,The Hilltoppers,0,The Hilltoppers
0,Tell Me You're Mine,The Gaylords,0,The Gaylords
0,"Eh, Cumpari!",Julius La Rosa,0,Julius La Rosa
0,Rags to Riches,Tony Bennett,0,Tony Bennett
0,Anna,Silvana Mangano,0,Silvana Mangano
0,Say You're Mine Again,Perry Como,0,Perry Como
0,Dragnet,Ray Anthony,0,Ray Anthony
0,Tell Me a Story,Jimmy Boyd & Frankie Laine,0,Jimmy Boyd & Frankie Laine
0,Crying in the Chapel,June Valli,0,June Valli
0,Why Don't You Believe Me?,Joni James,0,Joni James
0,Your Cheatin' Heart,Joni James,0,Joni James
0,Limelight (Terry's Theme),Frank Chacksfield,0,Frank Chacksfield
0,With These Hands,Eddie Fisher,0,Eddie Fisher
0,C'est si bon,Eartha Kitt,0,Eartha Kitt
0,Have You Heard?,Joni James,0,Joni James
1,Little Things Mean a Lot,Kitty Kallen,0,Kitty Kallen
1,Wanted,Perry Como,0,Perry Como
1,Hey There,Rosemary Clooney,0,Rosemary Clooney
1,Sh-Boom,The Crew-Cuts,0,The Crew-Cuts
1,Make Love to Me,Jo Stafford,0,Jo Stafford
1,Oh! My Pa-Pa,Eddie Fisher,0,Eddie Fisher
1,(Oh Baby Mine) I Get So Lonely,The Four Knights,0,The Four Knights
1,Three Coins in the Fountain,The Four Aces,0,The Four Aces
1,Secret Love,Doris Day,0,Doris Day
1,Hernando's Hideaway,Archie Bleyer,0,Archie Bleyer
0,Young at Heart,Frank Sinatra,0,Frank Sinatra
0,This Ole House,Rosemary Clooney,0,Rosemary Clooney
0,I Need You Now,Eddie Fisher,0,Eddie Fisher
0,Cross Over the Bridge,Patti Page,0,Patti Page
0,The Little Shoemaker,The Gaylords,0,The Gaylords
0,That's Amore,Dean Martin,0,Dean Martin
0,The Happy Wanderer,Frank Weir,0,Frank Weir
0,"Answer Me, My Love",Nat King Cole,0,Nat King Cole
0,Stranger in Paradise,Tony Bennett,0,Tony Bennett
0,If I Give My Heart to You,Doris Day,0,Doris Day
0,If You Love Me (Really Love Me),Kay Starr,0,Kay Starr
0,Skokiaan,Ralph Marterie,0,Ralph Marterie
0,Hold My Hand,Don Cornell,0,Don Cornell
0,Changing Partners,Patti Page,0,Patti Page
0,Papa Loves Mambo,Perry Como,0,Perry Como
0,"Shake, Rattle and Roll",Bill Haley & His Comets,0,Bill Haley & His Comets
0,In the Chapel in the Moonlight,Kitty Kallen,0,Kitty Kallen
0,Stranger in Paradise,The Four Aces,0,The Four Aces
0,Here,Tony Martin,0,Tony Martin
1,Cherry Pink And Apple Blossom White,Perez Prado,0,Perez Prado
1,Rock Around the Clock,Bill Haley & His Comets,0,Bill Haley & His Comets
1,The Yellow Rose of Texas,Mitch Miller,0,Mitch Miller
1,Autumn Leaves,Roger Williams,0,Roger Williams
1,Unchained Melody,Les Baxter,0,Les Baxter
1,The Ballad of Davy Crockett,Bill Hayes,0,Bill Hayes
1,Love Is a Many-Splendored Thing,The Four Aces,0,The Four Aces
1,Sincerely,The McGuire Sisters,0,The McGuire Sisters
1,Ain't That a Shame,Pat Boone,0,Pat Boone
1,"The Wallflower (Dance with Me, Henry)",Georgia Gibbs,0,Georgia Gibbs
0,The Crazy Otto Medley,Johnny Maddox,0,Johnny Maddox
0,Melody of Love,Billy Vaughn,0,Billy Vaughn
0,Sixteen Tons,Tennessee Ernie Ford,0,Tennessee Ernie Ford
0,Learnin' the Blues,Frank Sinatra,0,Frank Sinatra
0,Hearts of Stone,The Fontane Sisters,0,The Fontane Sisters
0,Tweedle Dee,Georgia Gibbs,0,Georgia Gibbs
0,Moments to Remember,The Four Lads,0,The Four Lads
0,Mr. Sandman,The Chordettes,0,The Chordettes
0,"Let Me Go, Lover!",Joan Weber,0,Joan Weber
0,A Blossom Fell,Nat King Cole,0,Nat King Cole
0,Unchained Melody,Al Hibbler,0,Al Hibbler
0,The Ballad of Davy Crockett,Fess Parker,0,Fess Parker
0,Honey-Babe,Art Mooney,0,Art Mooney
0,The Ballad of Davy Crockett,Tennessee Ernie Ford,0,Tennessee Ernie Ford
0,Ko Ko Mo (I Love You So),Perry Como,0,Perry Como
0,Hard to Get,Gisele MacKenzie,0,Gisele MacKenzie
0,The Naughty Lady of Shady Lane,The Ames Brothers,0,The Ames Brothers
0,That's All I Want from You,Jaye P. Morgan,0,Jaye P. Morgan
0,Only You (And You Alone),The Platters,0,The Platters
0,It's a Sin to Tell a Lie,Somethin' Smith and the Redheads,0,Somethin' Smith and the Redheads
1,Heartbreak Hotel,Elvis Presley,0,Elvis Presley
1,Don't Be Cruel,Elvis Presley,0,Elvis Presley
1,Lisbon Antigua,Nelson Riddle,0,Nelson Riddle
1,My Prayer,The Platters,0,The Platters
1,The Wayward Wind,Gogi Grant,0,Gogi Grant
1,Hound Dog,Elvis Presley,0,Elvis Presley
1,The Poor People of Paris,Les Baxter,0,Les Baxter
1,"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day,0,Doris Day
1,Memories Are Made of This,Dean Martin,0,Dean Martin
1,(The) Rock and Roll Waltz,Kay Starr,0,Kay Starr
0,Moonglow and Theme from Picnic,Morris Stoloff,0,Morris Stoloff
0,The Great Pretender,The Platters,0,The Platters
0,I Almost Lost My Mind,Pat Boone,0,Pat Boone
0,"I Want You, I Need You, I Love You",Elvis Presley,0,Elvis Presley
0,Love Me Tender,Elvis Presley,0,Elvis Presley
0,Hot Diggity (Dog Ziggity Boom),Perry Como,0,Perry Como
0,Canadian Sunset,Eddie Heywood & Hugo Winterhalter,0,Eddie Heywood & Hugo Winterhalter
0,Blue Suede Shoes,Carl Perkins,0,Carl Perkins
0,Green Door,Jim Lowe,0,Jim Lowe
0,"No, Not Much",The Four Lads,0,The Four Lads
0,Honky Tonk,Bill Doggett,0,Bill Doggett
0,Just Walkin' in the Rain,Johnnie Ray,0,Johnnie Ray
0,Allegheny Moon,Patti Page,0,Patti Page
0,I'm in Love Again,Fats Domino,0,Fats Domino
0,Tonight You Belong to Me,Patience and Prudence,0,Patience and Prudence
0,Be-Bop-A-Lula,Gene Vincent,0,Gene Vincent
0,Why Do Fools Fall in Love,Frankie Lymon and the Teenagers,0,Frankie Lymon and the Teenagers
0,Standing on the Corner,The Four Lads,0,The Four Lads
0,The Flying Saucer,Buchanan & Goodman,0,Buchanan & Goodman
0,Moonglow and Theme from Picnic,George Cates,0,George Cates
0,Ivory Tower,Cathy Carr,0,Cathy Carr
0,See You Later Alligator,Bill Haley & His Comets,0,Bill Haley & His Comets
0,I'll Be Home,Pat Boone,0,Pat Boone
0,On the Street Where You Live,Vic Damone,0,Vic Damone
0,(You've Got) The Magic Touch,The Platters,0,The Platters
0,Born to Be with You,The Chordettes,0,The Chordettes
0,Band of Gold,Don Cherry,0,Don Cherry
0,More,Perry Como,0,Perry Como
0,Singing the Blues,Guy Mitchell,0,Guy Mitchell
0,Blueberry Hill,Fats Domino,0,Fats Domino
0,The Fool,Sanford Clark,0,Sanford Clark
0,The Happy Whistler,Don Robertson,0,Don Robertson
0,True Love,Bing Crosby & Grace Kelly,0,Bing Crosby & Grace Kelly
0,Long Tall Sally,Little Richard,0,Little Richard
0,A Sweet Old Fashioned Girl,Teresa Brewer,0,Teresa Brewer
0,Transfusion,Nervous Norvus,0,Nervous Norvus
0,It Only Hurts for a Little While,The Ames Brothers,0,The Ames Brothers
0,A Tear Fell,Teresa Brewer,0,Teresa Brewer
0,Rock Island Line,Lonnie Donegan,0,Lonnie Donegan
1,All Shook Up,Elvis Presley,0,Elvis Presley
1,Love Letters in the Sand,Pat Boone,0,Pat Boone
1,Little Darlin',The Diamonds,0,The Diamonds
1,Young Love,Tab Hunter,0,Tab Hunter
1,So Rare,Jimmy Dorsey,0,Jimmy Dorsey
1,Don't Forbid Me,Pat Boone,0,Pat Boone
1,Young Love,Sonny James,0,Sonny James
1,Too Much,Elvis Presley,0,Elvis Presley
1,Round and Round,Perry Como,0,Perry Como
0,Bye Bye Love,The Everly Brothers,0,The Everly Brothers
0,Tammy,Debbie Reynolds,0,Debbie Reynolds
0,Party Doll,Buddy Knox,0,Buddy Knox
0,Teddy Bear,Elvis Presley,0,Elvis Presley
0,Day-O (The Banana Boat Song),Harry Belafonte,0,Harry Belafonte
0,Jailhouse Rock,Elvis Presley,0,Elvis Presley
0,A White Sport Coat (and a Pink Carnation),Marty Robbins,0,Marty Robbins
0,Come Go with Me,The Del-Vikings,0,The Del-Vikings
0,Wake Up Little Susie,The Everly Brothers,0,The Everly Brothers
0,You Send Me,Sam Cooke,0,Sam Cooke
0,Searchin',The Coasters,0,The Coasters
0,School Days,Chuck Berry,0,Chuck Berry
0,Gone,Ferlin Husky,0,Ferlin Husky
0,Diana,Paul Anka,0,Paul Anka
0,A Teenager's Romance,Ricky Nelson,0,Ricky Nelson
0,The Banana Boat Song,The Tarriers,0,The Tarriers
0,Honeycomb,Jimmie Rodgers,0,Jimmie Rodgers
0,Whole Lotta Shakin' Goin On,Jerry Lee Lewis,0,Jerry Lee Lewis
0,Dark Moon,Gale Storm,0,Gale Storm
0,That'll Be the Day,The Crickets,0,The Crickets
0,Butterfly,Charlie Gracie,0,Charlie Gracie
0,Moonlight Gambler,Frankie Laine,0,Frankie Laine
0,Teen-Age Crush,Tommy Sands,0,Tommy Sands
0,It's Not for Me to Say,Johnny Mathis,0,Johnny Mathis
0,Silhouettes,The Rays,0,The Rays
0,Butterfly,Andy Williams,0,Andy Williams
0,Marianne,The Easy Riders,0,The Easy Riders
0,I'm Walkin',Fats Domino,0,Fats Domino
0,Chances Are,Johnny Mathis,0,Johnny Mathis
0,Send for Me,Nat King Cole,0,Nat King Cole
0,Rainbow,Russ Hamilton,0,Russ Hamilton
0,Be-Bop Baby,Ricky Nelson,0,Ricky Nelson
0,Short Fat Fannie,Larry Williams,0,Larry Williams
0,I'm Gonna Sit Right Down and Write Myself a Letter,Billy Williams,0,Billy Williams
0,Old Cape Cod,Patti Page,0,Patti Page
0,Mr. Lee,The Bobbettes,0,The Bobbettes
0,Whispering Bells,The Del-Vikings,0,The Del-Vikings
0,Blue Monday,Fats Domino,0,Fats Domino
1,Volare (Nel blu dipinto di blu),Domenico Modugno,0,Domenico Modugno
1,All I Have to Do Is Dream / Claudette,The Everly Brothers,0,The Everly Brothers
1,Don't / I Beg of You,Elvis Presley,0,Elvis Presley
1,Witch Doctor,David Seville,0,David Seville
1,Patricia,Perez Prado,0,Perez Prado
1,"Sail Along, Silv'ry Moon / Raunchy",Billy Vaughn,0,Billy Vaughn
1,Catch a Falling Star / Magic Moments,Perry Como,0,Perry Como
1,Tequila,The Champs,0,The Champs
1,It's All in the Game,Tommy Edwards,0,Tommy Edwards
1,Return to Me,Dean Martin,0,Dean Martin
0,It's Only Make Believe,Conway Twitty,0,Conway Twitty
0,The Purple People Eater,Sheb Wooley,0,Sheb Wooley
0,Bird Dog / Devoted to You,The Everly Brothers,0,The Everly Brothers
0,Get a Job,The Silhouettes,0,The Silhouettes
0,Little Star,The Elegants,0,The Elegants
0,Twilight Time,The Platters,0,The Platters
0,Stood Up / Waitin' in School,Ricky Nelson,0,Ricky Nelson
0,He's Got the Whole World in His Hands,Laurie London,0,Laurie London
0,Secretly,Jimmie Rodgers,0,Jimmie Rodgers
0,At the Hop,Danny & the Juniors,0,Danny & the Juniors
0,Yakety Yak,The Coasters,0,The Coasters
0,Wear My Ring Around Your Neck / Doncha' Think It's Time,Elvis Presley,0,Elvis Presley
0,Rockin' Robin / Over and Over,Bobby Day,0,Bobby Day
0,Poor Little Fool,Ricky Nelson,0,Ricky Nelson
0,A Wonderful Time Up There / It's Too Soon to Know,Pat Boone,0,Pat Boone
0,Just a Dream,Jimmy Clanton,0,Jimmy Clanton
0,Sugartime,The McGuire Sisters,0,The McGuire Sisters
0,Tom Dooley,The Kingston Trio,0,The Kingston Trio
0,Sweet Little Sixteen,Chuck Berry,0,Chuck Berry
0,Topsy II / Topsy I,Cozy Cole,0,Cozy Cole
0,Looking Back / Do I Like It,Nat King Cole,0,Nat King Cole
0,Book of Love,The Monotones,0,The Monotones
0,Tea for Two Cha Cha,Tommy Dorsey Orchestra & Warren Covington,0,Tommy Dorsey Orchestra & Warren Covington
0,Tears on My Pillow,Little Anthony and the Imperials,0,Little Anthony and the Imperials
0,Short Shorts,The Royal Teens,0,The Royal Teens
0,Great Balls of Fire,Jerry Lee Lewis,0,Jerry Lee Lewis
0,Lollipop,The Chordettes,0,The Chordettes
0,Splish Splash,Bobby Darin,0,Bobby Darin
0,Who's Sorry Now?,Connie Francis,0,Connie Francis
