Hit,Title,Artist,Featuring,Artist_Feat,lookup,available_markets,release_date,total_followers,genres,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
0,Sioux City Sue,Bing Crosby and the Jesters,0,Bing Crosby and the Jesters,Sioux City Sue Bing Crosby and the Jesters,183.0,1954-08-01,434533.0,"['adult standards', 'easy listening']",81.0,0.79,0.667,181467.0,0.29,0.0,7.0,0.0444,-13.799,0.076,83.45,4.0,0.797
0,(I Love You) For Sentimental Reasons,King Cole Trio,0,King Cole Trio,(I Love You) For Sentimental Reasons King Cole Trio,184.0,1954-01-01,1966396.0,['adult standards'],80.0,0.981,0.49,172667.0,0.101,0.00946,1.0,0.112,-16.229,0.0364,73.797,3.0,0.295
1,Near You,Francis Craig,0,Francis Craig,Near You Francis Craig,181.0,2001,1755040.0,[],0.0,0.97,0.59,171533.0,0.2,0.769,2.0,0.11,-18.52,0.0323,135.551,4.0,0.533
1,Peg o' My Heart,The Harmonicats,0,The Harmonicats,Peg o' My Heart The Harmonicats,181.0,2000-01-01,232.0,[],2.0,0.926,0.308,134400.0,0.148,0.913,1.0,0.16,-22.801,0.033,67.088,4.0,0.356
1,Heartaches,Ted Weems,0,Ted Weems,Heartaches Ted Weems,164.0,2001,372.0,"[""man's orchestra""]",11.0,0.784,0.71,160120.0,0.758,0.716,8.0,0.0791,-10.807,0.0472,132.774,4.0,0.911
1,I Wish I Didn't Love You So,Vaughn Monroe,0,Vaughn Monroe,I Wish I Didn't Love You So Vaughn Monroe,181.0,2000,16325.0,"['adult standards', 'big band', 'lounge', 'swing']",36.0,0.987,0.282,168467.0,0.0896,0.892,10.0,0.116,-21.529,0.0333,90.419,3.0,0.272
1,Peg o' My Heart,The Three Suns,0,The Three Suns,Peg o' My Heart The Three Suns,184.0,1955,3497.0,"['easy listening', 'exotica', 'lounge']",34.0,0.571,0.471,143767.0,0.157,0.306,0.0,0.0859,-18.368,0.04,77.213,4.0,0.56
1,The Anniversary Song,Al Jolson,0,Al Jolson,The Anniversary Song Al Jolson,164.0,2013-11-03,26150.0,"['big band', 'tin pan alley']",32.0,0.694,0.194,188040.0,0.219,0.00712,8.0,0.104,-18.656,0.0387,82.116,3.0,0.15
1,Near You,Larry Green Orchestra,0,Larry Green Orchestra,Near You Larry Green Orchestra,183.0,1988-06-21,1755040.0,[],0.0,0.21,0.668,232667.0,0.676,0.00877,3.0,0.0594,-10.27,0.0379,98.145,4.0,0.812
1,That's My Desire,Sammy Kaye,0,Sammy Kaye,That's My Desire Sammy Kaye,162.0,2019-05-10,4394.0,"['big band', 'swing']",34.0,0.993,0.317,157600.0,0.0621,0.00153,2.0,0.114,-16.222,0.0377,85.06,3.0,0.136
1,Ballerina,Vaughn Monroe,0,Vaughn Monroe,Ballerina Vaughn Monroe,180.0,2010-12-28,16325.0,"['adult standards', 'big band', 'lounge', 'swing']",36.0,0.964,0.388,207333.0,0.573,0.591,9.0,0.179,-4.432,0.0381,121.648,4.0,0.711
0,I Wonder Who's Kissing Her Now,Ted Weems and Perry Como,0,Ted Weems and Perry Como,I Wonder Who's Kissing Her Now Ted Weems and Perry Como,181.0,2003,1755040.0,[],0.0,0.853,0.668,197000.0,0.257,0.0633,7.0,0.326,-13.999,0.0434,121.858,4.0,0.753
0,Near You,The Andrews Sisters,0,The Andrews Sisters,Near You The Andrews Sisters,71.0,1992-01-01,179064.0,"['adult standards', 'lounge', 'torch song', 'vocal harmony group', 'vocal jazz']",68.0,0.965,0.708,180267.0,0.27,1.52e-06,0.0,0.112,-13.147,0.0343,121.585,4.0,0.409
0,When You Were Sweet Sixteen,Perry Como,0,Perry Como,When You Were Sweet Sixteen Perry Como,184.0,1975-09-30,445555.0,"['adult standards', 'easy listening']",74.0,0.981,0.209,195400.0,0.061,0.0341,10.0,0.106,-18.73,0.0326,90.06,3.0,0.241
0,How Soon,Jack Owens,0,Jack Owens,How Soon Jack Owens,184.0,2013-11-12,954.0,['delta blues'],11.0,0.766,0.772,133793.0,0.655,0.000263,5.0,0.0877,-7.038,0.0706,103.192,4.0,0.919
0,Too Fat Polka,Arthur Godfrey,0,Arthur Godfrey,Too Fat Polka Arthur Godfrey,183.0,2009-05-01,202.0,[],20.0,0.907,0.864,182867.0,0.261,1e-06,7.0,0.0827,-12.822,0.126,121.506,4.0,0.87
0,Huggin' and Chalkin',Hoagy Carmichael,0,Hoagy Carmichael,Huggin' and Chalkin' Hoagy Carmichael,175.0,2014-02-01,27863.0,"['adult standards', 'big band', 'lounge', 'stride', 'swing', 'tin pan alley', 'vintage jazz', 'vocal jazz']",49.0,0.947,0.631,159600.0,0.237,1.81e-06,3.0,0.344,-15.875,0.0519,142.267,4.0,0.866
0,The Anniversary Song,Guy Lombardo,0,Guy Lombardo,The Anniversary Song Guy Lombardo,184.0,1996-10-22,11514.0,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']",43.0,0.916,0.377,199800.0,0.183,0.0136,4.0,0.106,-14.359,0.0312,100.613,3.0,0.172
0,Across the Alley from the Alamo,The Mills Brothers,0,The Mills Brothers,Across the Alley from the Alamo The Mills Brothers,178.0,1995-01-01,91879.0,"['adult standards', 'big band', 'lounge', 'swing', 'vocal harmony group', 'vocal jazz']",51.0,0.906,0.788,150373.0,0.17,0.0,6.0,0.145,-14.957,0.0633,140.96,1.0,0.708
0,Civilization,The Andrews Sisters and Danny Kaye,0,The Andrews Sisters and Danny Kaye,Civilization The Andrews Sisters and Danny Kaye,184.0,1987-01-01,38149.0,['comic'],47.0,0.648,0.628,182040.0,0.282,0.0,8.0,0.0974,-12.768,0.316,155.098,4.0,0.874
0,Feudin' and Fightin',Dorothy Shay,0,Dorothy Shay,Feudin' and Fightin' Dorothy Shay,184.0,2019-03-22,127.0,[],1.0,0.982,0.831,163654.0,0.204,0.0596,7.0,0.107,-13.472,0.07,103.903,4.0,0.735
0,Linda,Charlie Spivak,0,Charlie Spivak,Linda Charlie Spivak,181.0,2013-04-01,768.0,[],12.0,0.995,0.367,138526.0,0.058,0.917,8.0,0.0994,-24.532,0.045,102.464,4.0,0.278
0,"Open the Door, Richard",Dusty Fletcher,0,Dusty Fletcher,"Open the Door, Richard Dusty Fletcher",184.0,2003-01-01,1755040.0,[],0.0,0.795,0.738,360533.0,0.328,0.0,7.0,0.149,-11.756,0.421,123.264,4.0,0.503
0,(I Love You) For Sentimental Reasons,Eddy Howard,0,Eddy Howard,(I Love You) For Sentimental Reasons Eddy Howard,183.0,1953-03-04,3035.0,[],20.0,0.977,0.233,189440.0,0.0415,0.26,5.0,0.114,-16.827,0.0414,68.377,4.0,0.129
1,Twelfth Street Rag,Pee Wee Hunt,0,Pee Wee Hunt,Twelfth Street Rag Pee Wee Hunt,183.0,2019-07-09,1705.0,['jazz trombone'],19.0,0.464,0.656,172896.0,0.51,0.854,3.0,0.116,-10.987,0.0453,106.854,4.0,0.964
1,Mañana (Is Soon Enough for Me),Peggy Lee,0,Peggy Lee,Mañana (Is Soon Enough for Me) Peggy Lee,184.0,1998-01-01,388175.0,"['adult standards', 'lounge', 'soul', 'torch song', 'vocal jazz']",65.0,0.36,0.751,178733.0,0.566,0.0,2.0,0.272,-13.624,0.102,122.282,4.0,0.935
1,Now Is the Hour,Bing Crosby,0,Bing Crosby,Now Is the Hour Bing Crosby,184.0,2008-01-01,434533.0,"['adult standards', 'easy listening']",81.0,0.983,0.202,212720.0,0.15,0.0165,1.0,0.13,-14.052,0.0315,85.032,1.0,0.169
1,A Tree in the Meadow,Margaret Whiting,0,Margaret Whiting,A Tree in the Meadow Margaret Whiting,184.0,1999-01-01,23613.0,"['adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']",51.0,0.979,0.226,162333.0,0.0543,9.35e-06,9.0,0.0884,-17.892,0.0366,86.206,4.0,0.0985
1,My Happiness,Jon and Sondra Steele,0,Jon and Sondra Steele,My Happiness Jon and Sondra Steele,184.0,2011-11-03,1755040.0,[],0.0,0.176,0.5,146707.0,0.594,0.784,10.0,0.105,-6.815,0.0292,116.697,1.0,0.543
1,"You Can't Be True, Dear",Ken Griffin and Jerry Wayne,0,Ken Griffin and Jerry Wayne,"You Can't Be True, Dear Ken Griffin and Jerry Wayne",181.0,2000-01-01,2005.0,[],24.0,0.939,0.321,160011.0,0.155,0.9,0.0,0.145,-19.138,0.0386,57.943,4.0,0.643
1,Little White Lies,Dick Haymes,0,Dick Haymes,Little White Lies Dick Haymes,184.0,1955-12-28,16253.0,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing']",42.0,0.969,0.498,155373.0,0.0664,0.0828,3.0,0.118,-17.743,0.0391,114.416,4.0,0.165
1,You Call Everybody Darlin',Al Trace,0,Al Trace,You Call Everybody Darlin' Al Trace,69.0,1995-01-01,1237.0,['vintage swedish pop'],18.0,0.967,0.526,152827.0,0.178,0.0418,10.0,0.0935,-12.904,0.0565,168.13,4.0,0.682
1,My Happiness,The Pied Pipers,0,The Pied Pipers,My Happiness The Pied Pipers,184.0,1942-06-20,26211.0,"['big band', 'swing', 'vocal harmony group']",51.0,0.934,0.337,165461.0,0.126,0.0,10.0,0.122,-11.277,0.0318,168.193,4.0,0.2
1,I'm Looking Over a Four Leaf Clover,Art Mooney,0,Art Mooney,I'm Looking Over a Four Leaf Clover Art Mooney,183.0,2016-06-17,268.0,['deep adult standards'],39.0,0.99,0.721,148036.0,0.542,0.453,7.0,0.278,-11.727,0.0309,108.945,4.0,0.96
0,It's Magic,Doris Day,0,Doris Day,It's Magic Doris Day,184.0,1945,396144.0,"['adult standards', 'easy listening', 'lounge', 'swing', 'vocal jazz']",62.0,0.912,0.332,208400.0,0.0714,3.67e-05,5.0,0.129,-15.69,0.0352,81.374,5.0,0.149
0,Maybe You'll Be There,Gordon Jenkins,0,Gordon Jenkins,Maybe You'll Be There Gordon Jenkins,181.0,2000-01-01,1694.0,['space age pop'],24.0,0.987,0.354,194565.0,0.0964,1.16e-05,9.0,0.289,-20.505,0.0454,69.659,3.0,0.168
0,Nature Boy,King Cole,0,King Cole,Nature Boy King Cole,182.0,1991-01-01,1966396.0,['adult standards'],80.0,0.971,0.203,173533.0,0.0895,0.0213,2.0,0.108,-19.755,0.0404,173.451,1.0,0.115
0,Woody Woodpecker,Kay Kyser,0,Kay Kyser,Woody Woodpecker Kay Kyser,184.0,1990-06-19,9824.0,"['big band', 'swing']",31.0,0.886,0.815,182507.0,0.289,4.35e-05,0.0,0.307,-11.656,0.0568,135.347,4.0,0.892
0,Love Somebody,Doris Day and Buddy Clark,0,Doris Day and Buddy Clark,Love Somebody Doris Day and Buddy Clark,184.0,2011-01-07,396144.0,"['adult standards', 'easy listening', 'lounge', 'swing', 'vocal jazz']",62.0,0.945,0.784,185147.0,0.0818,7.51e-05,6.0,0.0719,-14.575,0.0587,133.25,4.0,0.56
0,Now Is the Hour,Gracie Fields,0,Gracie Fields,Now Is the Hour Gracie Fields,182.0,2019-07-16,5448.0,"['british dance band', 'music hall']",26.0,0.969,0.244,189120.0,0.162,0.02,5.0,0.201,-17.23,0.0304,88.794,3.0,0.271
0,Beg Your Pardon,Francis Craig,0,Francis Craig,Beg Your Pardon Francis Craig,181.0,2000-01-01,1755040.0,[],0.0,0.987,0.505,179821.0,0.114,0.861,7.0,0.387,-21.601,0.0355,133.518,4.0,0.562
0,"You Can't Be True, Dear",Ken Griffin,0,Ken Griffin,"You Can't Be True, Dear Ken Griffin",181.0,2000-01-01,2005.0,[],24.0,0.591,0.274,164464.0,0.0648,0.783,0.0,0.131,-17.864,0.0385,102.766,4.0,0.632
0,Toolie Oolie Doolie,The Andrews Sisters,0,The Andrews Sisters,Toolie Oolie Doolie The Andrews Sisters,161.0,2002-10-01,179064.0,"['adult standards', 'lounge', 'torch song', 'vocal harmony group', 'vocal jazz']",68.0,0.964,0.633,172080.0,0.0349,0.0,10.0,0.0966,-16.809,0.0363,116.426,4.0,0.332
0,Buttons and Bows,Dinah Shore,0,Dinah Shore,Buttons and Bows Dinah Shore,162.0,2010-08-24,73870.0,"['adult standards', 'big band', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']",48.0,0.85,0.818,121613.0,0.201,0.000764,0.0,0.111,-9.781,0.0629,90.445,4.0,0.775
0,Golden Earrings,Peggy Lee,0,Peggy Lee,Golden Earrings Peggy Lee,184.0,1998-01-01,388175.0,"['adult standards', 'lounge', 'soul', 'torch song', 'vocal jazz']",65.0,0.561,0.378,181067.0,0.179,0.000914,2.0,0.118,-14.591,0.0311,177.137,4.0,0.459
0,Serenade of the Bells,Sammy Kaye,0,Sammy Kaye,Serenade of the Bells Sammy Kaye,183.0,2008,4394.0,"['big band', 'swing']",34.0,0.988,0.382,191985.0,0.131,0.0102,0.0,0.117,-12.356,0.0434,78.713,4.0,0.369
0,Until,Tommy Dorsey,0,Tommy Dorsey,Until Tommy Dorsey,183.0,2020-07-01,108771.0,"['adult standards', 'big band', 'jazz trombone', 'lounge', 'stride', 'swing', 'vocal jazz']",50.0,0.958,0.387,182962.0,0.0937,6.11e-06,1.0,0.166,-16.589,0.0283,99.77,4.0,0.296
0,William Tell Overture,Spike Jones,0,Spike Jones,William Tell Overture Spike Jones,183.0,2022-07-20,9922.0,['comic'],35.0,0.945,0.376,199104.0,0.913,0.00646,10.0,0.354,-1.987,0.142,97.447,4.0,0.623
0,Beg Your Pardon,Frankie Carle,0,Frankie Carle,Beg Your Pardon Frankie Carle,177.0,2014-10-04,2318.0,"['big band', 'honky-tonk piano', 'space age pop', 'swing']",36.0,0.936,0.728,198191.0,0.193,0.000116,0.0,0.0927,-10.354,0.0392,127.725,4.0,0.588
0,I'll Dance at Your Wedding,Ray Noble and Buddy Clark,0,Ray Noble and Buddy Clark,I'll Dance at Your Wedding Ray Noble and Buddy Clark,184.0,1992-10-13,1228.0,[],26.0,0.742,0.752,190333.0,0.169,0.0,7.0,0.108,-14.443,0.0637,122.355,4.0,0.58
0,The Dicky-Bird Song,Freddy Martin,0,Freddy Martin,The Dicky-Bird Song Freddy Martin,184.0,2023-01-06,1071.0,[],22.0,0.000962,0.72,184615.0,0.983,0.621,0.0,0.623,-3.314,0.0726,130.05,4.0,0.618
0,I'm Looking Over a Four Leaf Clover,Russ Morgan and Milt Herth,0,Russ Morgan and Milt Herth,I'm Looking Over a Four Leaf Clover Russ Morgan and Milt Herth,184.0,1966-12-12,3120.0,"[""man's orchestra""]",34.0,0.843,0.691,153523.0,0.543,0.0,3.0,0.0692,-8.103,0.0306,126.545,4.0,0.966
0,How Soon,Vaughn Monroe,0,Vaughn Monroe,How Soon Vaughn Monroe,181.0,2000,16325.0,"['adult standards', 'big band', 'lounge', 'swing']",36.0,0.952,0.285,187200.0,0.174,0.778,10.0,0.231,-19.877,0.0349,65.254,5.0,0.306
0,Serenade of the Bells,Jo Stafford,0,Jo Stafford,Serenade of the Bells Jo Stafford,184.0,1953-01-01,75575.0,"['adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']",53.0,0.939,0.265,177160.0,0.205,0.0,10.0,0.129,-11.568,0.0322,83.062,4.0,0.261
1,Riders in the Sky,Vaughn Monroe,0,Vaughn Monroe,Riders in the Sky Vaughn Monroe,180.0,2010-12-28,16325.0,"['adult standards', 'big band', 'lounge', 'swing']",36.0,0.957,0.428,176707.0,0.587,2.09e-05,9.0,0.19,-5.039,0.0327,126.574,3.0,0.336
1,That Lucky Old Sun,Frankie Laine,0,Frankie Laine,That Lucky Old Sun Frankie Laine,184.0,1989-08-08,84155.0,"['adult standards', 'cowboy western', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']",45.0,0.856,0.428,210400.0,0.242,5.64e-05,2.0,0.257,-10.536,0.0292,65.525,3.0,0.267
1,You're Breaking My Heart,Vic Damone,0,Vic Damone,You're Breaking My Heart Vic Damone,184.0,1959-02-15,77936.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",47.0,0.92,0.18,203200.0,0.401,2.84e-06,10.0,0.23,-11.647,0.0346,86.722,5.0,0.211
1,Some Enchanted Evening,Perry Como,0,Perry Como,Some Enchanted Evening Perry Como,181.0,2010-10-26,445555.0,"['adult standards', 'easy listening']",74.0,0.936,0.198,206600.0,0.106,0.0036,0.0,0.419,-15.895,0.0368,176.197,4.0,0.255
